NO;JALUR;STATUS;UMUR DOKUMEN;UMUR LHP;JENIS PEMBERITAHUAN;NOMOR AJU;NOMOR DAFTAR;TANGGAL DAFTAR;ID PERUSAHAAN;NAMA PERUSAHAAN;PPJK
1;H;;764;-;30 - BC 3.0;00003021016120240105000016;600088;05-01-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
2;H;;763;-;30 - BC 3.0;00003001718920240106000004;600118;06-01-2024;017189184125000;TOBA SURIMI INDUSTRIES;
3;H;;760;-;30 - BC 3.0;00003031192420240109000018;600184;09-01-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
4;H;;760;-;30 - BC 3.0;00003031479320240109000042;600177;09-01-2024;314793480125000;SAGAMI INDONESIA;
5;H;;758;-;30 - BC 3.0;00003074002520240111000009;600233;11-01-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
6;H;;758;-;30 - BC 3.0;00003074002520240111000010;600234;11-01-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
7;H;;757;-;30 - BC 3.0;00003031192420240111000028;600250;12-01-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
8;H;;754;-;30 - BC 3.0;00003082062720240115000062;600304;15-01-2024;820627214125000;SARANA MAJU BERSAMA;
9;H;;754;-;30 - BC 3.0;00003082062720240115000067;600303;15-01-2024;820627214125000;SARANA MAJU BERSAMA;
10;H;;754;-;30 - BC 3.0;00003082062720240115000068;600315;15-01-2024;820627214125000;SARANA MAJU BERSAMA;
11;H;;753;-;30 - BC 3.0;00003084834820240113000005;600322;16-01-2024;848348967125000;PT. ANUGERAH WALET JAYA;
12;H;;753;-;30 - BC 3.0;00003082068420240116000068;600330;16-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
13;H;;753;-;30 - BC 3.0;00003082062720240116000072;600337;16-01-2024;820627214125000;SARANA MAJU BERSAMA;
14;H;;753;-;30 - BC 3.0;00003092821220240115000055;600325;16-01-2024;800480121125001;PT. CEFA INDONESIA SEJAHTERA LESTARI;PT. LOGISTIK EKSPRESINDO UTAMA
15;H;;753;-;30 - BC 3.0;00003092821220240116000058;600335;16-01-2024;099092686112000;UD. ROYAL MARINE CENTRE;PT. LOGISTIK EKSPRESINDO UTAMA
16;H;;753;-;30 - BC 3.0;00003021016120240115000050;600329;16-01-2024;062552427122000;UD ALIAN RUSWAN;PUTRA INDONESIA SEJAHTERA
17;H;;753;-;30 - BC 3.0;00003074002520240116000024;600344;16-01-2024;014892640123000;PT. NUBIKA JAYA;PT. MULIA BERJAYA ABADI
18;H;;753;-;30 - BC 3.0;01010000258220240115000048;600339;16-01-2024;010021988118000;PT. VIRGINIA INDONESIA RUBBER COMPANY;PT BIROTIKA SEMESTA
19;H;;752;-;30 - BC 3.0;00003092821220240117000065;600353;17-01-2024;942504838125000;PT. DAMAI WALET SENTOSA;PT. LOGISTIK EKSPRESINDO UTAMA
20;H;;752;-;30 - BC 3.0;00003092821220240117000066;600354;17-01-2024;942504838125000;PT. DAMAI WALET SENTOSA;PT. LOGISTIK EKSPRESINDO UTAMA
21;H;;752;-;30 - BC 3.0;00003092568520240116000016;600356;17-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
22;H;;752;-;30 - BC 3.0;00003082068420240117000073;600352;17-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
23;H;;752;-;30 - BC 3.0;00003082062720240117000080;600363;17-01-2024;820627214125000;SARANA MAJU BERSAMA;
24;H;;752;-;30 - BC 3.0;00003082062720240117000076;600366;17-01-2024;820627214125000;SARANA MAJU BERSAMA;
25;H;;752;-;30 - BC 3.0;00003092821220240117000064;600368;17-01-2024;073732711105000;UD. REZEKI BAHARI;PT. LOGISTIK EKSPRESINDO UTAMA
26;H;;752;-;30 - BC 3.0;01010000258220240117000057;600360;17-01-2024;015167067111000;CV. HARAPAN BERSAMA;PT BIROTIKA SEMESTA
27;H;;752;-;30 - BC 3.0;01010000258220240117000059;600369;17-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
28;H;;751;-;30 - BC 3.0;00003092821220240118000076;600400;18-01-2024;942504838125000;PT. DAMAI WALET SENTOSA;PT. LOGISTIK EKSPRESINDO UTAMA
29;H;;751;-;30 - BC 3.0;00003082068420240118000076;600387;18-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
30;H;;751;-;30 - BC 3.0;00003082062720240118000086;600399;18-01-2024;820627214125000;SARANA MAJU BERSAMA;
31;H;;751;-;30 - BC 3.0;00003082062720240118000084;600394;18-01-2024;820627214125000;SARANA MAJU BERSAMA;
